fT (L_var=1.05e-06) X,fT (L_var=1.05e-06) Y,fT (L_var=2.05e-06) X,fT (L_var=2.05e-06) Y,fT (L_var=3.05e-06) X,fT (L_var=3.05e-06) Y,fT (L_var=4.05e-06) X,fT (L_var=4.05e-06) Y,fT (L_var=5.05e-06) X,fT (L_var=5.05e-06) Y,fT (L_var=6.05e-06) X,fT (L_var=6.05e-06) Y,fT (L_var=7.05e-06) X,fT (L_var=7.05e-06) Y,fT (L_var=8.05e-06) X,fT (L_var=8.05e-06) Y,fT (L_var=9.05e-06) X,fT (L_var=9.05e-06) Y,fT (L_var=1.005e-05) X,fT (L_var=1.005e-05) Y,fT (L_var=1.105e-05) X,fT (L_var=1.105e-05) Y,fT (L_var=1.205e-05) X,fT (L_var=1.205e-05) Y,fT (L_var=1.305e-05) X,fT (L_var=1.305e-05) Y,fT (L_var=1.405e-05) X,fT (L_var=1.405e-05) Y
0.45,216794418.0844003,0.45,67992093.89162202,0.45,32133517.04494906,0.45,18546238.7322062,0.45,12025622.85366762,0.45,8413413.817613997,0.45,6209597.801342097,0.45,4768386.33457033,0.45,3775234.510937751,0.45,3062280.33353139,0.45,2533396.08119266,0.45,2130353.417566236,0.45,1816227.499830912,0.45,1566693.224778798
0.5105263,280326841.3794788,0.5105263,77800516.25759245,0.5105263,35739542.02181836,0.5105263,20455349.99730761,0.5105263,13237001.70073845,0.5105263,9263448.914378397,0.5105263,6844323.574425667,0.5105263,5262641.427760675,0.5105263,4171964.431776852,0.5105263,3388185.760334631,0.5105263,2806085.10437936,0.5105263,2361969.986760393,0.5105263,2015446.845514835,0.5105263,1739891.16123531
0.5710526,431349189.3970007,0.5710526,121527448.9332685,0.5710526,56326006.60567389,0.5710526,32453865.31029191,0.5710526,21107871.75493666,0.5710526,14828927.82311414,0.5710526,10989523.74864493,0.5710526,8470179.294177273,0.5710526,6727738.418583938,0.5710526,5472478.297504056,0.5710526,4538267.705696813,0.5710526,3824247.113452085,0.5710526,3266284.978998184,0.5710526,2822012.96790806
0.6315789000000001,709808785.5852294,0.6315789000000001,197906242.0071935,0.6315789000000001,91326068.94425522,0.6315789000000001,52469988.80329851,0.6315789000000001,34055697.15208539,0.6315789000000001,23888125.54601626,0.6315789000000001,17682244.20817196,0.6315789000000001,13616091.62769935,0.6315789000000001,10807246.99447049,0.6315789000000001,8785760.819111427,0.6315789000000001,7282533.726416223,0.6315789000000001,6134396.325416387,0.6315789000000001,5237711.512220573,0.6315789000000001,4524078.186470638
0.6921053,1022218510.313308,0.6921053,281666088.2989459,0.6921053,129388197.5647842,0.6921053,74116403.2304011,0.6921053,48001703.17145029,0.6921053,33616423.15821859,0.6921053,24852876.87250085,0.6921053,19119732.00489938,0.6921053,15164303.07925466,0.6921053,12320552.77930219,0.6921053,10207655.83462054,0.6921053,8594994.876892498,0.6921053,7336259.370198809,0.6921053,6334979.743784004
0.7526316,1316692870.095811,0.7526316,361315668.9885201,0.7526316,165715594.4402384,0.7526316,94813874.51559529,0.7526316,61350575.18727358,0.7526316,42934763.25801027,0.7526316,31724844.3823524,0.7526316,24396216.13348041,0.7526316,19342854.95009052,0.7526316,15711429.20795488,0.7526316,13014325.04297034,0.7526316,10956423.44207411,0.7526316,9350587.173752027,0.7526316,8073483.495503648
0.8131579,1589320707.643388,0.8131579,436435235.7419888,0.8131579,200218637.3407457,0.8131579,114546693.6805777,0.8131579,74107804.08464068,0.8131579,51854810.95936157,0.8131579,38311026.05885197,0.8131579,29457921.4124449,0.8131579,23354226.21946717,0.8131579,18968548.3900153,0.8131579,15711588.29325939,0.8131579,13226727.35249109,0.8131579,11287859.56054216,0.8131579,9745987.957445575
0.8736842,1846298483.803445,0.8736842,508530289.9032734,0.8736842,233557238.2291669,0.8736842,133682865.1467614,0.8736842,86507465.29485898,0.8736842,60538355.0843131,0.8736842,44729840.75680187,0.8736842,34395230.4558041,0.8736842,27269641.20830144,0.8736842,22149468.66556896,0.8736842,18346916.48380125,0.8736842,15445720.90479512,0.8736842,13181942.99712552,0.8736842,11381647.87712896
0.9342105000000001,2091569865.863774,0.9342105000000001,578457477.74973,0.9342105000000001,266091003.7978066,0.9342105000000001,152417735.2797435,0.9342105000000001,98671601.59946918,0.9342105000000001,69068665.17466626,0.9342105000000001,51041652.0771335,0.9342105000000001,39253878.08406422,0.9342105000000001,31124934.64995898,0.9342105000000001,25283017.87903717,0.9342105000000001,20943998.29091815,0.9342105000000001,17633212.4843474,0.9342105000000001,15049644.70896389,0.9342105000000001,12994901.73170177
0.9947368,2326606416.903684,0.9947368,646482939.0731429,0.9947368,297923100.1945,0.9947368,170804802.9266927,0.9947368,110632622.5571037,0.9947368,77467377.37155592,0.9947368,57261894.52265953,0.9947368,44045416.63328053,0.9947368,34929072.75876816,0.9947368,28376354.88020667,0.9947368,23508680.46477738,0.9947368,19794066.41627397,0.9947368,16895074.42123468,0.9947368,14589267.09077887
1.055263,2551775810.374629,1.055263,712621019.5712306,1.055263,329049154.9721158,1.055263,188838719.1823319,1.055263,122386037.6567207,1.055263,85730899.41358507,1.055263,63387691.31206489,1.055263,48767513.55591929,1.055263,38680136.39996415,1.055263,31427878.04779461,1.055263,26039608.7726942,1.055263,21927124.0806682,1.055263,18717230.37666022,1.055263,16163869.63612529
1.115789,2767131559.800621,1.115789,776819256.1728318,1.115789,359436902.6815237,1.115789,206499085.7800972,1.115789,133918014.9177341,1.115789,93849300.18178745,1.115789,69411590.918714,1.115789,53414382.59903995,1.115789,42373508.13711121,1.115789,34433820.16105876,1.115789,28533652.90680466,1.115789,24029744.15079877,1.115789,20513854.53959461,1.115789,17716757.17473821
1.176316,2972708670.335776,1.176316,839025998.1144905,1.176316,389055034.7315173,1.176316,223766218.8182979,1.176316,145215252.1508169,1.176316,101813051.1628934,1.176316,75326455.78165227,1.176316,57980488.08446003,1.176316,46004774.57795209,1.176316,37390583.07267185,1.176316,30987824.79447375,1.176316,26099406.55402332,1.176316,22282793.45475687,1.176316,19246068.64775848
1.236842,3168596831.868023,1.236842,899206489.4632667,1.236842,417879965.0715044,1.236842,240624808.3428844,1.236842,156267250.9303583,1.236842,109614570.2804767,1.236842,81126576.77971447,1.236842,62461386.40131764,1.236842,49570383.86323477,1.236842,40295265.41392868,1.236842,33399711.38983956,1.236842,28134073.77307745,1.236842,24022304.36748967,1.236842,20750296.77202278
1.297368,3354939358.741592,1.297368,957342031.3129292,1.297368,445895396.5285559,1.297368,257063653.2373338,1.297368,167066137.5602312,1.297368,117248093.0279834,1.297368,86807576.21065308,1.297368,66853650.44659132,1.297368,53067585.22992444,1.297368,43145613.19220241,1.297368,35767433.553001,1.297368,30132156.08897752,1.297368,25731025.45531789,1.297368,22228262.25052535
1.357895,3531916025.866334,1.357895,1013425614.926902,1.357895,473090411.3985286,1.357895,273074602.7176218,1.357895,177605993.6726199,1.357895,124709212.1840476,1.357895,92366072.42593113,1.357895,71154614.67227711,1.357895,56494228.78443849,1.357895,45939858.45019693,1.357895,38089513.30740539,1.357895,32092400.47021002,1.357895,27407881.46723702,1.357895,23679032.64131938
1.418421,3699727406.013727,1.418421,1067458011.866072,1.418421,499457777.1729187,1.418421,288651624.1841581,1.418421,187882270.3583769,1.418421,131994476.9440626,1.418421,97799388.90765958,1.418421,75362154.62678172,1.418421,59848592.82390445,1.418421,48676580.432964,1.418421,40364759.83358761,1.418421,34013795.30414259,1.418421,29052002.93676786,1.418421,25101852.98971245
1.478947,3858583810.351957,1.478947,1119444970.913242,1.478947,524992732.8204969,1.478947,303790137.7620976,1.478947,197891371.4748811,1.478947,139101108.7918158,1.478947,103105348.6996613,1.478947,79474531.59683678,1.478947,63129262.43768387,1.478947,51354608.1892617,1.478947,42592189.63772076,1.478947,35895503.79868018,1.478947,30662669.79303277,1.478947,26496097.47678619
1.539474,4008698372.890792,1.539474,1169395315.388124,1.539474,549692148.2494924,1.539474,318486552.551442,1.539474,207630362.7943969,1.539474,146026803.2303895,1.539474,108282131.1104921,1.539474,83490284.46219978,1.539474,66335045.12933429,1.539474,53972952.97807525,1.539474,44770971.23225346,1.539474,37736817.898906,1.539474,32239272.39500439,1.539474,27861236.05062824
1.6,4150280266.172139,1.6,1217319267.096493,1.6,573553811.7902827,1.6,332737880.8934703,1.6,217096732.8334045,1.6,152769568.0118192,1.6,113328155.4698019,1.6,87408142.36337809,1.6,69464902.92791516,1.6,56530754.05191799,1.6,46900380.881373,1.6,39537121.50600346,1.6,33781280.49453491,1.6,29196807.8957858
