gm_id_fT (L_var=3.5e-07) X,gm_id_fT (L_var=3.5e-07) Y,gm_id_fT (L_var=4.5e-07) X,gm_id_fT (L_var=4.5e-07) Y,gm_id_fT (L_var=5.5e-07) X,gm_id_fT (L_var=5.5e-07) Y,gm_id_fT (L_var=6.5e-07) X,gm_id_fT (L_var=6.5e-07) Y,gm_id_fT (L_var=7.5e-07) X,gm_id_fT (L_var=7.5e-07) Y,gm_id_fT (L_var=8.5e-07) X,gm_id_fT (L_var=8.5e-07) Y,gm_id_fT (L_var=9.5e-07) X,gm_id_fT (L_var=9.5e-07) Y,gm_id_fT (L_var=1.05e-06) X,gm_id_fT (L_var=1.05e-06) Y,gm_id_fT (L_var=1.15e-06) X,gm_id_fT (L_var=1.15e-06) Y,gm_id_fT (L_var=1.25e-06) X,gm_id_fT (L_var=1.25e-06) Y,gm_id_fT (L_var=1.35e-06) X,gm_id_fT (L_var=1.35e-06) Y,gm_id_fT (L_var=1.45e-06) X,gm_id_fT (L_var=1.45e-06) Y,gm_id_fT (L_var=1.55e-06) X,gm_id_fT (L_var=1.55e-06) Y,gm_id_fT (L_var=1.65e-06) X,gm_id_fT (L_var=1.65e-06) Y,gm_id_fT (L_var=1.75e-06) X,gm_id_fT (L_var=1.75e-06) Y,gm_id_fT (L_var=1.85e-06) X,gm_id_fT (L_var=1.85e-06) Y,gm_id_fT (L_var=1.95e-06) X,gm_id_fT (L_var=1.95e-06) Y,gm_id_fT (L_var=2.05e-06) X,gm_id_fT (L_var=2.05e-06) Y,gm_id_fT (L_var=2.15e-06) X,gm_id_fT (L_var=2.15e-06) Y,gm_id_fT (L_var=2.25e-06) X,gm_id_fT (L_var=2.25e-06) Y,gm_id_fT (L_var=2.35e-06) X,gm_id_fT (L_var=2.35e-06) Y,gm_id_fT (L_var=2.45e-06) X,gm_id_fT (L_var=2.45e-06) Y,gm_id_fT (L_var=2.55e-06) X,gm_id_fT (L_var=2.55e-06) Y,gm_id_fT (L_var=2.65e-06) X,gm_id_fT (L_var=2.65e-06) Y,gm_id_fT (L_var=2.75e-06) X,gm_id_fT (L_var=2.75e-06) Y,gm_id_fT (L_var=2.85e-06) X,gm_id_fT (L_var=2.85e-06) Y,gm_id_fT (L_var=2.95e-06) X,gm_id_fT (L_var=2.95e-06) Y,gm_id_fT (L_var=3.05e-06) X,gm_id_fT (L_var=3.05e-06) Y,gm_id_fT (L_var=3.15e-06) X,gm_id_fT (L_var=3.15e-06) Y,gm_id_fT (L_var=3.25e-06) X,gm_id_fT (L_var=3.25e-06) Y,gm_id_fT (L_var=3.35e-06) X,gm_id_fT (L_var=3.35e-06) Y,gm_id_fT (L_var=3.45e-06) X,gm_id_fT (L_var=3.45e-06) Y,gm_id_fT (L_var=3.55e-06) X,gm_id_fT (L_var=3.55e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
0.04081633,46854.60360289499,0.04081633,39643.71059707635,0.04081633,41477.36257821866,0.04081633,44397.34123473312,0.04081633,46808.16168112718,0.04081633,48458.15023368538,0.04081633,49434.80742233459,0.04081633,49885.22993418586,0.04081633,49942.18891952943,0.04081633,49710.67009958554,0.04081633,49270.28929586791,0.04081633,48680.62323247564,0.04081633,47986.10933104478,0.04081633,47219.90051418573,0.04081633,46406.7566308953,0.04081633,45565.18140729756,0.04081633,44708.99764745735,0.04081633,43848.51098913825,0.04081633,42991.37338585112,0.04081633,42143.22706554908,0.04081633,41308.18733906464,0.04081633,40489.20649510994,0.04081633,39688.34945373136,0.04081633,38907.00356191266,0.04081633,38146.03895733175,0.04081633,37405.9316245494,0.04081633,36686.85814574755,0.04081633,35988.76886856034,0.04081633,35311.44453997101,0.04081633,34654.5402188946,0.04081633,34017.61936167254,0.04081633,33400.18028849172,0.04081633,32801.67672315432
0.08163265,193720.7182139261,0.08163265,162928.4311807249,0.08163265,169733.5631099205,0.08163265,181097.6400551704,0.08163265,190452.46897901,0.08163265,196769.048478853,0.08163265,200402.684377574,0.08163265,201948.0370700191,0.08163265,201939.56585031,0.08163265,200798.2012217625,0.08163265,198841.944334453,0.08163265,196307.8737127308,0.08163265,193372.1656089725,0.08163265,190165.7560801944,0.08163265,186786.0400815419,0.08163265,183305.48780325,0.08163265,179777.976317862,0.08163265,176243.4540020847,0.08163265,172731.3920698073,0.08163265,169263.3519176706,0.08163265,165854.9051064666,0.08163265,162517.0768339593,0.08163265,159257.4366431045,0.08163265,156080.9264484081,0.08163265,152990.4918340555,0.08163265,149987.5651980313,0.08163265,147072.4367320939,0.08163265,144244.5400596913,0.08163265,141502.6726367294,0.08163265,138845.1660679347,0.08163265,136270.0178197745,0.08163265,133774.993072346,0.08163265,131357.7033988585
0.122449,712319.8308149151,0.122449,596635.7167866714,0.122449,619744.4516975587,0.122449,659836.393238528,0.122449,692816.3576658537,0.122449,714908.9296717505,0.122449,727388.0457290271,0.122449,732396.8277706862,0.122449,731859.9331880456,0.122449,727291.2513886655,0.122449,719832.8500016922,0.122449,710334.8402703736,0.122449,699427.8620670674,0.122449,687579.7164151596,0.122449,675137.6259308603,0.122449,662359.3297278018,0.122449,649435.9103983154,0.122449,636508.5922511822,0.122449,623681.157288011,0.122449,611029.1693997273,0.122449,598606.8639477147,0.122449,586452.3206709202,0.122449,574591.3670942932,0.122449,563040.53767776,0.122449,551809.3265954327,0.122449,540901.9091748581,0.122449,530318.4615459783,0.122449,520056.1749494019,0.122449,510110.0369230343,0.122449,500473.4337408202,0.122449,491138.6152579165,0.122449,482097.0534667642,0.122449,473339.7186892634
0.1632653,2569689.280568659,0.1632653,2143954.942567802,0.1632653,2220358.249320446,0.1632653,2358746.211572936,0.1632653,2472488.208877656,0.1632653,2548009.079314806,0.1632653,2589778.025723314,0.1632653,2605358.370611177,0.1632653,2601539.96290846,0.1632653,2583658.887211398,0.1632653,2555736.27965984,0.1632653,2520761.354823223,0.1632653,2480948.064881628,0.1632653,2437935.583394438,0.1632653,2392937.884622625,0.1632653,2346853.765402858,0.1632653,2300347.567005322,0.1632653,2253908.530841419,0.1632653,2207894.626614407,0.1632653,2162565.076610954,0.1632653,2118104.617690634,0.1632653,2074641.693252129,0.1632653,2032262.160893964,0.1632653,1991019.668306026,0.1632653,1950943.539701699,0.1632653,1912044.791938058,0.1632653,1874320.738133722,0.1632653,1837758.519254093,0.1632653,1802337.818327119,0.1632653,1768032.948802238,0.1632653,1734814.461847739,0.1632653,1702650.382592138,0.1632653,1671507.159290735
0.2040816,9198262.785077257,0.2040816,7643981.528606014,0.2040816,7889015.807802156,0.2040816,8357752.949592735,0.2040816,8741974.734189885,0.2040816,8993581.43455857,0.2040816,9128190.912399761,0.2040816,9172246.50102975,0.2040816,9149448.251103742,0.2040816,9078392.064831523,0.2040816,8973067.431786291,0.2040816,8843853.159844045,0.2040816,8698418.174181905,0.2040816,8542424.662948644,0.2040816,8380052.459670952,0.2040816,8214384.515026022,0.2040816,8047689.458652614,0.2040816,7881629.121264109,0.2040816,7717411.545929299,0.2040816,7555904.347228103,0.2040816,7397719.118850416,0.2040816,7243274.599320747,0.2040816,7092844.16821166,0.2040816,6946591.718819026,0.2040816,6804598.860564617,0.2040816,6666885.619001423,0.2040816,6533426.23401812,0.2040816,6404161.244800061,0.2040816,6279006.749123984,0.2040816,6157861.50343118,0.2040816,6040612.36669191,0.2040816,5927138.469611295,0.2040816,5817314.399948136
0.244898,32644745.22520148,0.244898,27016720.32116963,0.244898,27760118.25596756,0.244898,29298339.86391488,0.244898,30549614.32347723,0.244898,31347468.11471942,0.244898,31746786.18100723,0.244898,31839220.44673932,0.244898,31706492.05913047,0.244898,31412480.22214045,0.244898,31005069.71180808,0.244898,30519650.98052972,0.244898,29982262.0464912,0.244898,29412033.44007646,0.244898,28823007.89018908,0.244898,28225475.3911589,0.244898,27626949.74616418,0.244898,27032884.03045017,0.244898,26447196.70056027,0.244898,25872660.22713516,0.244898,25311189.57079762,0.244898,24764057.35008764,0.244898,24232055.07212371,0.244898,23715614.46162923,0.244898,23214899.11025308,0.244898,22729873.93183403,0.244898,22260357.93684538,0.244898,21806064.40959806,0.244898,21366631.52987638,0.244898,20941645.71694058,0.244898,20530659.41058654,0.244898,20133204.58650267,0.244898,19748802.9917503
0.2857143,114205226.2955286,0.2857143,94090972.33838083,0.2857143,96084687.40050593,0.2857143,100825035.8624854,0.2857143,104602989.6316879,0.2857143,106866659.9653267,0.2857143,107811879.0124801,0.2857143,107752585.1543549,0.2857143,106965367.3139058,0.2857143,105664683.5624982,0.2857143,104010133.4468469,0.2857143,102118797.2984264,0.2857143,100076115.5042481,0.2857143,97944287.7733945,0.2857143,95768491.50862266,0.2857143,93581423.195352,0.2857143,91406605.1409965,0.2857143,89260796.73741812,0.2857143,87155758.80399811,0.2857143,85099550.14771073,0.2857143,83097484.76147558,0.2857143,81152841.719484,0.2857143,79267393.93741375,0.2857143,77441803.55402111,0.2857143,75675918.57496402,0.2857143,73968996.04294899,0.2857143,72319870.2641288,0.2857143,70727079.7579747,0.2857143,69188963.06767555,0.2857143,67703730.98978166,0.2857143,66269520.88824769,0.2857143,64884437.35943115,0.2857143,63546582.47552485
0.3265306,389421531.6449256,0.3265306,319116705.4341271,0.3265306,322798206.4313265,0.3265306,335494893.9190024,0.3265306,345006797.2706065,0.3265306,349647841.1385413,0.3265306,350135987.9426326,0.3265306,347529936.5273091,0.3265306,342740892.99041,0.3265306,336464619.9492339,0.3265306,329211881.8253968,0.3265306,321352113.4253404,0.3265306,313150703.0728815,0.3265306,304797355.5697786,0.3265306,296426886.1123067,0.3265306,288134282.4161094,0.3265306,279985586.7565269,0.3265306,272025768.99266,0.3265306,264284440.7078127,0.3265306,256780018.7429379,0.3265306,249522771.388964,0.3265306,242517055.9152804,0.3265306,235762967.9525612,0.3265306,229257560.9258099,0.3265306,222995749.5903113,0.3265306,216970980.3420115,0.3265306,211175728.5617506,0.3265306,205601867.1599474,0.3265306,200240938.8680732,0.3265306,195084356.3846982,0.3265306,190123548.3196966,0.3265306,185350064.352573,0.3265306,180755649.6770825
0.3673469,1269719872.316293,0.3673469,1032687338.377774,0.3673469,1028108644.671595,0.3673469,1050357426.221089,0.3673469,1062153988.764468,0.3673469,1059192943.605127,0.3673469,1044259236.358148,0.3673469,1020903607.863312,0.3673469,992054638.7572199,0.3673469,959883637.421088,0.3673469,925939166.5953006,0.3673469,891304529.4907106,0.3673469,856726355.0676554,0.3673469,822710520.5489279,0.3673469,789591596.58355,0.3673469,757582607.728271,0.3673469,726810585.9463232,0.3673469,697341977.9430073,0.3673469,669200826.7861242,0.3673469,642381803.9106803,0.3673469,616859562.0511886,0.3673469,592595451.0631865,0.3673469,569542336.7471516,0.3673469,547648050.3143442,0.3673469,526857846.2762289,0.3673469,507116140.4740866,0.3673469,488367724.5691583,0.3673469,470558599.4523679,0.3673469,453636531.3630162,0.3673469,437551406.5991353,0.3673469,422255440.4650568,0.3673469,407703281.3559567,0.3673469,393852040.088388
0.4081633,3842066546.702678,0.4081633,3083136396.495406,0.4081633,2980887624.060743,0.4081633,2945038153.091493,0.4081633,2876955568.60407,0.4081633,2771395543.767157,0.4081633,2640436406.757771,0.4081633,2496129622.80211,0.4081633,2347363782.446478,0.4081633,2200042251.719162,0.4081633,2057828987.815974,0.4081633,1922830899.041441,0.4081633,1796112835.810326,0.4081633,1678061953.107261,0.4081633,1568637840.903312,0.4081633,1467541057.000612,0.4081633,1374324979.002596,0.4081633,1288468907.744263,0.4081633,1209424967.221474,0.4081633,1136647438.887256,0.4081633,1069610419.595222,0.4081633,1007817791.785163,0.4081633,950808193.5535489,0.4081633,898156791.3843582,0.4081633,849475058.8456376,0.4081633,804409359.5199941,0.4081633,762638859.3626885,0.4081633,723873109.9743445,0.4081633,687849521.035044,0.4081633,654330857.7946581,0.4081633,623102844.7980268,0.4081633,593971920.9720534,0.4081633,566763167.7383548
0.4489796,10305372000.98695,0.4489796,8026696155.764747,0.4489796,7318442461.489588,0.4489796,6757535948.72724,0.4489796,6161385370.64582,0.4489796,5552309502.204536,0.4489796,4968273315.876288,0.4489796,4431898313.245215,0.4489796,3951939387.680842,0.4489796,3528797830.652022,0.4489796,3158672636.187082,0.4489796,2836044840.711762,0.4489796,2555014574.497774,0.4489796,2309957268.923464,0.4489796,2095803553.837784,0.4489796,1908122153.968345,0.4489796,1743106079.551364,0.4489796,1597516211.303672,0.4489796,1468610404.703969,0.4489796,1354072008.832656,0.4489796,1251944081.59501,0.4489796,1160571624.381845,0.4489796,1078552187.02737,0.4489796,1004694282.944407,0.4489796,937982696.982975,0.4489796,877549689.4927506,0.4489796,822651151.9489949,0.4489796,772646875.0786079,0.4489796,726984210.5345985,0.4489796,685184523.0791496,0.4489796,646831933.9882184,0.4489796,611563945.5341483,0.4489796,579063611.1612597
0.4897959,22667662612.55461,0.4897959,16553951225.7286,0.4897959,13586708720.80452,0.4897959,11272572304.70392,0.4897959,9348785928.472397,0.4897959,7781369484.511347,0.4897959,6523598823.652221,0.4897959,5518068525.095911,0.4897959,4711385254.67159,0.4897959,4059558727.071212,0.4897959,3528193522.302673,0.4897959,3090960935.751551,0.4897959,2727830478.514737,0.4897959,2423540091.856194,0.4897959,2166397103.326288,0.4897959,1947376144.737563,0.4897959,1759451805.784497,0.4897959,1597107425.108834,0.4897959,1455973104.680508,0.4897959,1332557727.286886,0.4897959,1224049280.603674,0.4897959,1128164964.485432,0.4897959,1043037774.889145,0.4897959,967129992.4354089,0.4897959,899166661.5315236,0.4897959,838084037.0135494,0.4897959,782989324.6180593,0.4897959,733129009.0987334,0.4897959,687863761.6910713,0.4897959,646648425.395345,0.4897959,609015947.1207896,0.4897959,574564398.6608007,0.4897959,542946430.9246761
0.5306122,37228224521.91682,0.5306122,24865695914.10995,0.5306122,18295694871.69916,0.5306122,13945080725.69993,0.5306122,10911848550.94519,0.5306122,8738352409.143816,0.5306122,7140644400.967835,0.5306122,5937513550.415366,0.5306122,5011447536.402809,0.5306122,4284628331.649653,0.5306122,3704309487.411371,0.5306122,3233900447.992725,0.5306122,2847456635.418809,0.5306122,2526207275.282476,0.5306122,2256319803.935909,0.5306122,2027429142.060713,0.5306122,1831649963.500263,0.5306122,1662900349.09607,0.5306122,1516430235.936099,0.5306122,1388487123.518978,0.5306122,1276075409.434924,0.5306122,1176780652.303068,0.5306122,1088639550.94259,0.5306122,1010042572.502631,0.5306122,939660206.4123505,0.5306122,876386525.3719201,0.5306122,819295570.0060316,0.5306122,767607336.8449796,0.5306122,720661029.8501362,0.5306122,677893857.125783,0.5306122,638824098.0645148,0.5306122,603037486.2700056,0.5306122,570176186.9284815
0.5714286,48309513316.54072,0.5714286,30437860652.78114,0.5714286,21449294741.73302,0.5714286,16024323366.46749,0.5714286,12449571444.74795,0.5714286,9956926656.797356,0.5714286,8145982008.107767,0.5714286,6787868561.493153,0.5714286,5742950362.259919,0.5714286,4921750886.082743,0.5714286,4264672599.97731,0.5714286,3730739303.498751,0.5714286,3291013800.261302,0.5714286,2924585405.397603,0.5714286,2616037755.55631,0.5714286,2353802835.716843,0.5714286,2129063193.673903,0.5714286,1935002994.866467,0.5714286,1766286668.063923,0.5714286,1618689366.659325,0.5714286,1488830734.009441,0.5714286,1373980236.643579,0.5714286,1271912894.079048,0.5714286,1180801028.994822,0.5714286,1099132116.17841,0.5714286,1025645780.460105,0.5714286,959285008.4292105,0.5714286,899158024.706275,0.5714286,844508250.1724514,0.5714286,794690442.304446,0.5714286,749151605.7183032,0.5714286,707415613.6194576,0.5714286,669070738.2753671
0.6122449,59117604964.84306,0.6122449,36598428664.00449,0.6122449,25630577353.12989,0.6122449,19119565492.76433,0.6122449,14841992610.46323,0.6122449,11857525920.14659,0.6122449,9687922546.053167,0.6122449,8060858415.285992,0.6122449,6809725545.118872,0.6122449,5827383570.553612,0.6122449,5042272159.674735,0.6122449,4405103323.774016,0.6122449,3881038075.77365,0.6122449,3444893688.935334,0.6122449,3078107249.301671,0.6122449,2766756261.272985,0.6122449,2500235898.125926,0.6122449,2270355453.587015,0.6122449,2070708925.833029,0.6122449,1896228757.292361,0.6122449,1742864334.277428,0.6122449,1607346971.047902,0.6122449,1487015810.597973,0.6122449,1379687265.201698,0.6122449,1283555997.914289,0.6122449,1197119038.142514,0.6122449,1119117061.194063,0.6122449,1048488538.943904,0.6122449,984333638.775074,0.6122449,925885574.3932805,0.6122449,872487702.7031027,0.6122449,823575087.5946656,0.6122449,778659562.882831
0.6530612,69792096370.02882,0.6530612,43157526760.87357,0.6530612,29984596104.23014,0.6530612,22174966387.63986,0.6530612,17078648568.34083,0.6530612,13552501824.25272,0.6530612,11009952689.61222,0.6530612,9117165283.835766,0.6530612,7671028265.654759,0.6530612,6541886329.253314,0.6530612,5643799378.594887,0.6530612,4918002955.95293,0.6530612,4323235432.997519,0.6530612,3829850884.298922,0.6530612,3416114728.322634,0.6530612,3065805008.871613,0.6530612,2766619518.540566,0.6530612,2509094108.428887,0.6530612,2285853257.541729,0.6530612,2091081368.698973,0.6530612,1920143616.328794,0.6530612,1769309952.518997,0.6530612,1635551441.680195,0.6530612,1516388072.501204,0.6530612,1409773714.701302,0.6530612,1314008221.080758,0.6530612,1227669601.771693,0.6530612,1149561203.361191,0.6530612,1078670219.268531,0.6530612,1014134838.58174,0.6530612,955218039.0562927,0.6530612,901286532.9677541,0.6530612,851793740.4988666
0.6938776,76534599008.02229,0.6938776,47510282826.12182,0.6938776,32742682043.64709,0.6938776,24003996308.55517,0.6938776,18353840162.16853,0.6938776,14481576211.63236,0.6938776,11712118928.66125,0.6938776,9664096857.988976,0.6938776,8107806924.60227,0.6938776,6898035600.377791,0.6938776,5939346495.884451,0.6938776,5166954591.641623,0.6938776,4535651189.377316,0.6938776,4013125193.8105,0.6938776,3575794964.763653,0.6938776,3206128593.496767,0.6938776,2890875559.519418,0.6938776,2619872468.626,0.6938776,2385219619.163672,0.6938776,2180702565.576916,0.6938776,2001378869.910073,0.6938776,1843278302.456348,0.6938776,1703182277.479098,0.6938776,1578459484.962213,0.6938776,1466941944.593195,0.6938776,1366830516.154101,0.6938776,1276622134.776675,0.6938776,1195053248.300915,0.6938776,1121055463.693134,0.6938776,1053720482.775829,0.6938776,992272169.7639573,0.6938776,936044140.6014968,0.6938776,884461661.5366359
0.7346939,78552732669.9745,0.7346939,49042130828.89872,0.7346939,33673763665.71044,0.7346939,24579171404.07331,0.7346939,18728459569.00386,0.7346939,14738989095.36134,0.7346939,11897420177.11922,0.7346939,9802779122.451929,0.7346939,8215004780.987514,0.7346939,6983154706.089364,0.7346939,6008474425.461893,0.7346939,5224173980.26352,0.7346939,4583786536.685689,0.7346939,4054184636.958181,0.7346939,3611240994.162694,0.7346939,3237049255.202134,0.7346939,2918095820.077101,0.7346939,2644028513.88374,0.7346939,2406809568.79505,0.7346939,2200121812.724807,0.7346939,2018945174.149322,0.7346939,1859249914.945003,0.7346939,1717771239.848843,0.7346939,1591841528.27482,0.7346939,1479263955.578508,0.7346939,1378216237.599771,0.7346939,1287176566.982704,0.7346939,1204866083.206401,0.7346939,1130203790.330045,0.7346939,1062270937.941852,0.7346939,1000282662.0869,0.7346939,943565243.4924356,0.7346939,891537746.9055502
0.7755102,77480821748.31866,0.7755102,48680769318.29791,0.7755102,33436726204.40817,0.7755102,24392616801.56556,0.7755102,18578262942.35876,0.7755102,14617563918.99622,0.7755102,11798646641.98945,0.7755102,9721731105.490835,0.7755102,8147847294.806468,0.7755102,6926951114.515365,0.7755102,5960984106.982178,0.7755102,5183681383.870595,0.7755102,4548968826.124955,0.7755102,4024012872.740216,0.7755102,3584907342.063001,0.7755102,3213913489.142922,0.7755102,2897645871.194887,0.7755102,2625851192.933858,0.7755102,2390568668.169586,0.7755102,2185541588.608061,0.7755102,2005797778.232569,0.7755102,1847345748.324302,0.7755102,1706951486.887458,0.7755102,1581972330.376547,0.7755102,1470231828.86168,0.7755102,1369924441.754895,0.7755102,1279542207.203132,0.7755102,1197817781.378788,0.7755102,1123679801.494467,0.7755102,1056217617.464939,0.7755102,994653210.9118867,0.7755102,938318675.2770183,0.7755102,886638033.2881192
0.8163265,75008702977.88023,0.8163265,47430299913.51785,0.8163265,32665167152.90036,0.8163265,23868691737.89983,0.8163265,18202240608.27501,0.8163265,14337013740.2373,0.8163265,11582931062.15371,0.8163265,9551753789.073324,0.8163265,8011143479.271543,0.8163265,6815082827.65354,0.8163265,5868063761.005443,0.8163265,5105493435.526548,0.8163265,4482426586.990709,0.8163265,3966811436.988539,0.8163265,3535295467.147873,0.8163265,3170539888.82636,0.8163265,2859453337.806174,0.8163265,2592002212.404004,0.8163265,2360392223.997719,0.8163265,2158494502.510601,0.8163265,1981436201.321719,0.8163265,1825303854.987058,0.8163265,1686925355.351825,0.8163265,1563707609.023738,0.8163265,1453514200.362094,0.8163265,1354572178.858764,0.8163265,1265400309.045056,0.8163265,1184753315.98826,0.8163265,1111578177.419606,0.8163265,1044979577.296752,0.8163265,984192390.2792897,0.8163265,928559608.1670247,0.8163265,877514512.1828855
0.8571429,72126899735.70135,0.8571429,45891655360.30305,0.8571429,31723322113.92075,0.8571429,23241338998.05444,0.8571429,17759725966.80811,0.8571429,14011352768.57303,0.8571429,11335191983.84527,0.8571429,9358180202.562029,0.8571429,7856510317.281965,0.8571429,6689238005.726483,0.8571429,5764010862.429183,0.8571429,5018273990.15801,0.8571429,4408440815.109918,0.8571429,3903390615.606077,0.8571429,3480424366.556073,0.8571429,3122671742.199565,0.8571429,2817383554.636926,0.8571429,2554780359.442048,0.8571429,2327259514.746676,0.8571429,2128838644.960034,0.8571429,1954758279.860256,0.8571429,1801193697.649627,0.8571429,1665042977.010301,0.8571429,1543769067.082712,0.8571429,1435280696.746309,0.8571429,1337841579.03789,0.8571429,1250000480.696488,0.8571429,1170536851.694912,0.8571429,1098418180.189588,0.8571429,1032766269.55223,0.8571429,972830366.2098486,0.8571429,917965592.6799898,0.8571429,867615521.6978476
0.8979592,69272668519.36372,0.8979592,44336363004.4967,0.8979592,30772207390.72418,0.8979592,22611224838.18894,0.8979592,17317642417.84321,0.8979592,13687493983.80586,0.8979592,11089765091.7543,0.8979592,9167033817.223698,0.8979592,7704242227.326663,0.8979592,6565621475.344013,0.8979592,5662023512.574406,0.8979592,4932954420.115792,0.8979592,4336196843.431203,0.8979592,3841565470.251656,0.8979592,3427016069.99678,0.8979592,3076146604.83837,0.8979592,2776549216.057427,0.8979592,2518697508.151999,0.8979592,2295179323.704798,0.8979592,2100157665.790176,0.8979592,1928985415.625109,0.8979592,1777925676.158267,0.8979592,1643945900.487081,0.8979592,1524564367.704979,0.8979592,1417734328.905522,0.8979592,1321755618.295978,0.8979592,1235206532.349035,0.8979592,1156890834.149581,0.8979592,1085796162.944687,0.8979592,1021061127.443851,0.8979592,961949070.7861935,0.8979592,907827004.8058548,0.8979592,858148581.4033738
