0.00E+00,5.11E-12
1.00E-02,5.15E-12
2.00E-02,5.21E-12
3.00E-02,5.29E-12
4.00E-02,5.39E-12
5.00E-02,5.53E-12
6.00E-02,5.73E-12
7.00E-02,5.99E-12
8.00E-02,6.35E-12
9.00E-02,6.85E-12
1.00E-01,7.52E-12
1.10E-01,8.44E-12
1.20E-01,9.69E-12
1.30E-01,1.14E-11
1.40E-01,1.37E-11
1.50E-01,1.69E-11
1.60E-01,2.12E-11
1.70E-01,2.71E-11
1.80E-01,3.51E-11
1.90E-01,4.59E-11
2.00E-01,6.07E-11
2.10E-01,8.08E-11
2.20E-01,1.08E-10
2.30E-01,1.45E-10
2.40E-01,1.95E-10
2.50E-01,2.62E-10
2.60E-01,3.53E-10
2.70E-01,4.76E-10
2.80E-01,6.41E-10
2.90E-01,8.62E-10
3.00E-01,1.16E-09
3.10E-01,1.55E-09
3.20E-01,2.08E-09
3.30E-01,2.78E-09
3.40E-01,3.70E-09
3.50E-01,4.91E-09
3.60E-01,6.50E-09
3.70E-01,8.58E-09
3.80E-01,1.13E-08
3.90E-01,1.48E-08
4.00E-01,1.93E-08
4.10E-01,2.51E-08
4.20E-01,3.26E-08
4.30E-01,4.20E-08
4.40E-01,5.40E-08
4.50E-01,6.92E-08
4.60E-01,8.83E-08
4.70E-01,1.12E-07
4.80E-01,1.42E-07
4.90E-01,1.78E-07
5.00E-01,2.22E-07
5.10E-01,2.75E-07
5.20E-01,3.39E-07
5.30E-01,4.15E-07
5.40E-01,5.03E-07
5.50E-01,6.06E-07
5.60E-01,7.23E-07
5.70E-01,8.57E-07
5.80E-01,1.01E-06
5.90E-01,1.17E-06
6.00E-01,1.36E-06
6.10E-01,1.56E-06
6.20E-01,1.78E-06
6.30E-01,2.02E-06
6.40E-01,2.28E-06
6.50E-01,2.55E-06
6.60E-01,2.84E-06
6.70E-01,3.15E-06
6.80E-01,3.48E-06
6.90E-01,3.82E-06
7.00E-01,4.18E-06
7.10E-01,4.56E-06
7.20E-01,4.95E-06
7.30E-01,5.36E-06
7.40E-01,5.78E-06
7.50E-01,6.22E-06
7.60E-01,6.67E-06
7.70E-01,7.14E-06
7.80E-01,7.62E-06
7.90E-01,8.11E-06
8.00E-01,8.62E-06
8.10E-01,9.15E-06
8.20E-01,9.69E-06
8.30E-01,1.02E-05
8.40E-01,1.08E-05
8.50E-01,1.14E-05
8.60E-01,1.20E-05
8.70E-01,1.26E-05
8.80E-01,1.32E-05
8.90E-01,1.38E-05
9.00E-01,1.45E-05
9.10E-01,1.52E-05
9.20E-01,1.58E-05
9.30E-01,1.65E-05
9.40E-01,1.72E-05
9.50E-01,1.79E-05
9.60E-01,1.87E-05
9.70E-01,1.94E-05
9.80E-01,2.01E-05
9.90E-01,2.09E-05
1,2.17E-05
1.01,2.25E-05
1.02,2.33E-05
1.03,2.41E-05
1.04,2.49E-05
1.05,2.57E-05
1.06,2.66E-05
1.07,2.75E-05
1.08,2.83E-05
1.09,2.92E-05
1.1,3.01E-05
1.11,3.10E-05
1.12,3.19E-05
1.13,3.29E-05
1.14,3.38E-05
1.15,3.48E-05
1.16,3.57E-05
1.17,3.67E-05
1.18,3.77E-05
1.19,3.87E-05
1.2,3.97E-05
1.21,4.07E-05
1.22,4.17E-05
1.23,4.28E-05
1.24,4.38E-05
1.25,4.49E-05
1.26,4.60E-05
1.27,4.70E-05
1.28,4.81E-05
1.29,4.92E-05
1.3,5.04E-05
1.31,5.15E-05
1.32,5.26E-05
1.33,5.38E-05
1.34,5.49E-05
1.35,5.61E-05
1.36,5.72E-05
1.37,5.84E-05
1.38,5.96E-05
1.39,6.08E-05
1.4,6.20E-05
1.41,6.33E-05
1.42,6.45E-05
1.43,6.57E-05
1.44,6.70E-05
1.45,6.82E-05
1.46,6.95E-05
1.47,7.08E-05
1.48,7.21E-05
1.49,7.34E-05
1.5,7.47E-05
1.51,7.60E-05
1.52,7.73E-05
1.53,7.86E-05
1.54,8.00E-05
1.55,8.13E-05
1.56,8.27E-05
1.57,8.41E-05
1.58,8.54E-05
1.59,8.68E-05
1.6,8.82E-05
1.61,8.96E-05
1.62,9.10E-05
1.63,9.24E-05
1.64,9.39E-05
1.65,9.53E-05
1.66,9.67E-05
1.67,9.82E-05
1.68,9.97E-05
1.69,1.01E-04
1.7,1.03E-04
1.71,1.04E-04
1.72,1.06E-04
1.73,1.07E-04
1.74,1.09E-04
1.75,1.10E-04
1.76,1.12E-04
1.77,1.13E-04
1.78,1.15E-04
1.79,1.16E-04
1.8,1.18E-04
1.81,1.19E-04
1.82,1.21E-04
1.83,1.23E-04
1.84,1.24E-04
1.85,1.26E-04
1.86,1.27E-04
1.87,1.29E-04
1.88,1.31E-04
1.89,1.32E-04
1.9,1.34E-04
1.91,1.35E-04
1.92,1.37E-04
1.93,1.39E-04
1.94,1.40E-04
1.95,1.42E-04
1.96,1.44E-04
1.97,1.45E-04
1.98,1.47E-04
1.99,1.49E-04
2,1.50E-04
2.01,1.52E-04
2.02,1.54E-04
2.03,1.56E-04
2.04,1.57E-04
2.05,1.59E-04
2.06,1.61E-04
2.07,1.63E-04
2.08,1.64E-04
2.09,1.66E-04
2.1,1.68E-04
2.11,1.70E-04
2.12,1.71E-04
2.13,1.73E-04
2.14,1.75E-04
2.15,1.77E-04
2.16,1.79E-04
2.17,1.80E-04
2.18,1.82E-04
2.19,1.84E-04
2.2,1.86E-04
2.21,1.88E-04
2.22,1.90E-04
2.23,1.91E-04
2.24,1.93E-04
2.25,1.95E-04
2.26,1.97E-04
2.27,1.99E-04
2.28,2.01E-04
2.29,2.03E-04
2.3,2.05E-04
2.31,2.07E-04
2.32,2.09E-04
2.33,2.10E-04
2.34,2.12E-04
2.35,2.14E-04
2.36,2.16E-04
2.37,2.18E-04
2.38,2.20E-04
2.39,2.22E-04
2.4,2.24E-04
2.41,2.26E-04
2.42,2.28E-04
2.43,2.30E-04
2.44,2.32E-04
2.45,2.34E-04
2.46,2.36E-04
2.47,2.38E-04
2.48,2.40E-04
2.49,2.42E-04
2.5,2.44E-04
2.51,2.46E-04
2.52,2.48E-04
2.53,2.50E-04
2.54,2.53E-04
2.55,2.55E-04
2.56,2.57E-04
2.57,2.59E-04
2.58,2.61E-04
2.59,2.63E-04
2.6,2.65E-04
2.61,2.67E-04
2.62,2.69E-04
2.63,2.71E-04
2.64,2.74E-04
2.65,2.76E-04
2.66,2.78E-04
2.67,2.80E-04
2.68,2.82E-04
2.69,2.84E-04
2.7,2.87E-04
2.71,2.89E-04
2.72,2.91E-04
2.73,2.93E-04
2.74,2.95E-04
2.75,2.98E-04
2.76,3.00E-04
2.77,3.02E-04
2.78,3.04E-04
2.79,3.07E-04
2.8,3.09E-04
2.81,3.11E-04
2.82,3.13E-04
2.83,3.16E-04
2.84,3.18E-04
2.85,3.20E-04
2.86,3.23E-04
2.87,3.25E-04
2.88,3.27E-04
2.89,3.29E-04
2.9,3.32E-04
2.91,3.34E-04
2.92,3.36E-04
2.93,3.39E-04
2.94,3.41E-04
2.95,3.44E-04
2.96,3.46E-04
2.97,3.48E-04
2.98,3.51E-04
2.99,3.53E-04
3,3.55E-04
3.01,3.58E-04
3.02,3.60E-04
3.03,3.63E-04
3.04,3.65E-04
3.05,3.68E-04
3.06,3.70E-04
3.07,3.72E-04
3.08,3.75E-04
3.09,3.77E-04
3.1,3.80E-04
3.11,3.82E-04
3.12,3.85E-04
3.13,3.87E-04
3.14,3.90E-04
3.15,3.92E-04
3.16,3.95E-04
3.17,3.97E-04
3.18,4.00E-04
3.19,4.03E-04
3.2,4.05E-04
3.21,4.08E-04
3.22,4.10E-04
3.23,4.13E-04
3.24,4.15E-04
3.25,4.18E-04
3.26,4.21E-04
3.27,4.23E-04
3.28,4.26E-04
3.29,4.28E-04
3.3,4.31E-04
